sID,schoolname,level,eType,address,city,region,lati,longi
B000002424,서울화계초등학교,초등학교,공립,서울특별시 강북구 솔매로50가길 25,서울특별시교육청,서울특별시성북강북교육지원청,37.62369294,127.0292259
B000026868,보름초등학교,초등학교,공립,경기도 김포시 고촌읍 수기로 106,경기도교육청,경기도김포교육지원청,37.59455365,126.7624274
B000011627,군산여자상업고등학교,고등학교,공립,전북특별자치도 군산시 신지길 42-8,전북특별자치도교육청,전북특별자치도군산교육지원청,35.95698894,126.7072994
B000002792,대구동천초등학교,초등학교,공립,대구광역시 수성구 상록로16길 20,대구광역시교육청,대구광역시동부교육지원청,35.86566091,128.6252642
B000007869,개천초등학교,초등학교,공립,경상남도 고성군 개천면 옥천로 1268,경상남도교육청,경상남도고성교육지원청,35.09842998,128.2599259
B000002026,서울창도초등학교,초등학교,공립,서울특별시 도봉구 방학로 32-28,서울특별시교육청,서울특별시북부교육지원청,37.66371152,127.0495288
B000023109,청북고등학교,고등학교,공립,경기도 평택시 청북읍 안청로4길 55,경기도교육청,경기도평택교육지원청,37.02256084,126.9194518
B000007899,노량초등학교,초등학교,공립,경상남도 하동군 금남면 제먼당길 60,경상남도교육청,경상남도하동교육지원청,34.95198419,127.8567061
B000001874,서울신현초등학교,초등학교,공립,서울특별시 중랑구 봉화산로 188,서울특별시교육청,서울특별시동부교육지원청,37.60564979,127.0935852
B000011411,대구제일여자상업고등학교,고등학교,공립,대구광역시 달서구 대명천로 120,대구광역시교육청,대구광역시남부교육지원청,35.84055519,128.5460404
B000011330,세명컴퓨터고등학교,고등학교,사립,서울특별시 은평구 통일로92가길 33,서울특별시교육청,서울특별시서부교육지원청,37.62755921,126.9235283
B000023077,윤슬중학교,중학교,공립,경기도 하남시 풍산로 168,경기도교육청,경기도광주하남교육지원청,37.56342548,127.1814275
B000008127,선일여자중학교,중학교,사립,서울특별시 은평구 갈현로29길 27,서울특별시교육청,서울특별시서부교육지원청,37.61970878,126.9129659
B000001970,서울구일초등학교,초등학교,공립,서울특별시 구로구 구일로 68,서울특별시교육청,서울특별시남부교육지원청,37.49274072,126.8729387
B000008427,광진중학교,중학교,공립,서울특별시 광진구 뚝섬로64길 45,서울특별시교육청,서울특별시성동광진교육지원청,37.53178747,127.0896214
B000002682,반석초등학교,초등학교,공립,부산광역시 해운대구 선수촌로207번길 14,부산광역시교육청,부산광역시해운대교육지원청,35.21125226,129.1250141
B000008219,상계제일중학교,중학교,공립,서울특별시 노원구 덕릉로86길 29-15,서울특별시교육청,서울특별시북부교육지원청,37.66113509,127.0776401
B000012617,경화여자고등학교,고등학교,사립,경기도 광주시 수하길11번길 43,경기도교육청,경기도광주하남교육지원청,37.41867963,127.2640571
B000002367,서울양진초등학교,초등학교,공립,서울특별시 광진구 워커힐로 32,서울특별시교육청,서울특별시성동광진교육지원청,37.54424033,127.0983249
B000026126,양지고등학교,고등학교,공립,세종특별자치시  갈매로 518,세종특별자치시교육청,세종특별자치시교육청,36.50937967,127.2689448
B000002290,서울학동초등학교,초등학교,공립,서울특별시 강남구 선릉로115길 42,서울특별시교육청,서울특별시강남서초교육지원청,37.51212997,127.0398509
B000012356,우송고등학교,고등학교,사립,대전광역시 동구 동대전로131번길 53,대전광역시교육청,대전광역시동부교육지원청,36.33406013,127.444155
B000006812,진원동초등학교,초등학교,공립,전라남도 장성군 진원면 불태3로 245,전라남도교육청,전라남도장성교육지원청,35.26015534,126.8633614
B000006228,황강초등학교,초등학교,공립,전북특별자치도 김제시 공덕면 유강4길 94,전북특별자치도교육청,전북특별자치도김제교육지원청,35.87566098,126.9248935
B000003667,남창초등학교,초등학교,공립,경기도 수원시 팔달구 행궁로 44-9,경기도교육청,경기도수원교육지원청,37.27831918,127.0142292
B000009866,화천중학교,중학교,공립,강원특별자치도 화천군 하남면 춘화로 3348-9,강원특별자치도교육청,강원특별자치도화천교육지원청,38.09734604,127.7063832
B000002510,주원초등학교,초등학교,공립,부산광역시 부산진구 복지로 71,부산광역시교육청,부산광역시남부교육지원청,35.14689212,129.0206157
B000002513,당평초등학교,초등학교,공립,부산광역시 부산진구 백양대로136번길 26,부산광역시교육청,부산광역시남부교육지원청,35.16147667,129.0346941
B000006144,정읍동초등학교,초등학교,공립,전북특별자치도 정읍시 충정로 176,전북특별자치도교육청,전북특별자치도정읍교육지원청,35.56723699,126.8612584
B000010910,풍각중학교,중학교,공립,경상북도 청도군 풍각면 헐티로 185,경상북도교육청,경상북도청도교육지원청,35.64080409,128.6205562
B000004800,조종초등학교,초등학교,공립,경기도 가평군 조종면 조종새싹로 13-9,경기도교육청,경기도가평교육지원청,37.82136459,127.3490916
B000007154,영천동부초등학교,초등학교,공립,경상북도 영천시 호국로 209,경상북도교육청,경상북도영천교육지원청,35.97816081,128.9604769
B000005702,해미초등학교,초등학교,공립,충청남도 서산시 해미면 성지1로 81,충청남도교육청,충청남도서산교육지원청,36.71758654,126.5431911
B000008978,광주진흥중학교,중학교,사립,광주광역시 광산구 왕버들로 307,광주광역시교육청,광주광역시서부교육지원청,35.19574771,126.8423095
B000004894,신평초등학교,초등학교,공립,강원특별자치도 원주시 지정면 신무로 336,강원특별자치도교육청,강원특별자치도원주교육지원청,37.38454651,127.8923524
B000009051,대전봉명중학교,중학교,공립,대전광역시 유성구 계룡로132번길 71,대전광역시교육청,대전광역시서부교육지원청,36.34947802,127.3447647
B000007935,샛별초등학교,초등학교,사립,경상남도 거창군 거창읍 죽전4길 28,경상남도교육청,경상남도거창교육지원청,35.6916369,127.9117547
B000003785,부인초등학교,초등학교,공립,경기도 부천시 원미구 신상로 16,경기도교육청,경기도부천교육지원청,37.48960405,126.7486946
B000003549,삼산초등학교,초등학교,공립,울산광역시 남구 남중로108번길 19,울산광역시교육청,울산광역시강남교육지원청,35.54461167,129.3496865
B000007058,안동강남초등학교,초등학교,공립,경상북도 안동시 강남1길 78,경상북도교육청,경상북도안동교육지원청,36.55012319,128.731732
B000012639,부원고등학교,고등학교,사립,경기도 이천시 장호원읍 서동대로 8857,경기도교육청,경기도이천교육지원청,37.11632267,127.6197342
B000004316,신평초등학교,초등학교,공립,경기도 하남시 신장동로 67,경기도교육청,경기도광주하남교육지원청,37.54412557,127.2150463
B000003562,강남초등학교,초등학교,공립,울산광역시 남구 중앙로166번길 51,울산광역시교육청,울산광역시강남교육지원청,35.53808399,129.3185016
B000003618,이의초등학교,초등학교,공립,경기도 수원시 영통구 법조로 150,경기도교육청,경기도수원교육지원청,37.29298072,127.0754579
B000007851,원동초등학교이천분교장,초등학교,공립,경상남도 양산시 원동면 배내로 431-1,경상남도교육청,경상남도양산교육지원청,35.48695512,128.9853051
B000002731,정관초등학교,초등학교,공립,부산광역시 기장군 정관읍 정관로 530,부산광역시교육청,부산광역시해운대교육지원청,35.32299274,129.1717803
B000004890,반계초등학교,초등학교,공립,강원특별자치도 원주시 문막읍 원문로 2265,강원특별자치도교육청,강원특별자치도원주교육지원청,37.29174681,127.7906386
